rank,handle,points,penalty,successfulHackCount,unsuccessfulHackCount,oldDisplayRating,newDisplayRating,points_A,rejectedAttemptCount_A,time_A,points_B,rejectedAttemptCount_B,time_B,points_C,rejectedAttemptCount_C,time_C,points_D,rejectedAttemptCount_D,time_D,points_E,rejectedAttemptCount_E,time_E,OldTrueRating,NewTrueRating
148,scfkcf,3028.0,0,0,0,1658,1731,476.0,0,775.0,904.0,0,1455.0,1648.0,0,2645.0,0.0,4,,0.0,0,,1658,1731
148,asdasd123,3028.0,0,1,1,1573,1722,488.0,0,411.0,842.0,1,1644.0,1648.0,0,2683.0,0.0,3,,0.0,0,,1573,1722
150,pedromnasc,3026.0,0,0,0,1456,1691,426.0,0,2277.0,768.0,0,3535.0,1832.0,0,1277.0,0.0,0,,0.0,0,,1456,1691
151,xosmig,3022.0,0,0,0,1585,1723,486.0,0,442.0,912.0,0,1352.0,1624.0,0,2828.0,0.0,1,,0.0,0,,1585,1723
151,ZharkovGK,3022.0,0,3,0,1414,1675,490.0,0,337.0,928.0,0,1113.0,1304.0,0,5234.0,0.0,0,,0.0,0,,1414,1675
153,bible,3016.0,0,1,0,1680,1729,480.0,0,604.0,862.0,1,1335.0,1574.0,1,2846.0,0.0,3,,0.0,0,,1680,1729
154,please_delete_account,3002.0,0,0,0,1329,1633,414.0,1,1100.0,0.0,1,,1300.0,2,4529.0,1288.0,0,5360.0,0.0,0,,1329,1633
155,Reza_H,2996.0,0,1,0,1652,1728,478.0,0,697.0,780.0,0,3343.0,1638.0,1,2368.0,0.0,2,,0.0,0,,1652,1728
155,Gaytrodex,2996.0,0,0,0,1500,1764,484.0,0,508.0,916.0,0,1274.0,1596.0,2,2324.0,0.0,1,,0.0,0,,1500,1764
157,abdelkarim,2992.0,0,1,1,1419,1675,476.0,0,757.0,900.0,0,1542.0,1566.0,1,2896.0,0.0,0,,0.0,0,,1419,1675
158,keyvankhademi,2986.0,0,0,0,1687,1727,482.0,0,566.0,904.0,0,1477.0,1600.0,0,3039.0,0.0,0,,0.0,0,,1687,1727
159,omochan,2982.0,0,0,0,1625,1724,390.0,1,1852.0,904.0,0,1466.0,1688.0,0,2349.0,0.0,0,,0.0,0,,1625,1724
160,alan_navarro,2970.0,0,0,0,1578,1719,426.0,1,741.0,904.0,0,1466.0,1640.0,0,2731.0,0.0,7,,0.0,0,,1578,1719
160,jwzbkh949,2970.0,0,0,0,1500,1762,474.0,0,799.0,896.0,0,1596.0,1600.0,0,3022.0,0.0,4,,0.0,0,,1500,1762
